FBgn0261614 CG42703
FBgn0262194 mir-2489
FBgn0262185 mir-995
FBgn0262419 mir-277
FBgn0037436 Hr83
FBgn0037912 sea
FBgn0261617 nej
FBgn0261520 CG32716
FBgn0261688 Gyc76C
FBgn0261521 stich1
FBgn0262370 mir-7
FBgn0259649 B1365
FBgn0243486 rdo
FBgn0003015 osk
FBgn0086424 l(3)CHh
FBgn0031716 CG14015
FBgn0041242 Gr47a
FBgn0032749 Phlpp
FBgn0041579 AttC
FBgn0013725 phyl
FBgn0020269 mspo
FBgn0028554 xl6
FBgn0032449 CG17036
FBgn0261444 CG3638
FBgn0261445 sgl
FBgn0261446 CG13377
FBgn0013799 Deaf1
FBgn0020880 CG7179
FBgn0032812 Hakai
FBgn0025387 CG12184
FBgn0008651 lbl
FBgn0069952 CG41071
FBgn0053963 CR33963
FBgn0261808 cu
FBgn0036950 CG6996
FBgn0259650 B1521
FBgn0039366 CG17198
FBgn0004363 porin
FBgn0036306 CG10973
FBgn0260741 CG3281
FBgn0031623 Taf12L
FBgn0031619 CG3355
FBgn0260619 2L2983
FBgn0262446 mir-137
FBgn0262425 mir-288
FBgn0262422 mir-1011
FBgn0262203 mir-967
FBgn0262260 mir-2282
FBgn0262412 mir-1008
FBgn0262435 mir-1009
FBgn0038002 CG12256
FBgn0000278 CecB
FBgn0024983 CG4293
FBgn0262400 mir-287
FBgn0262372 mir-3
FBgn0262388 mir-92b
FBgn0262441 mir-313
FBgn0000044 Act57B
FBgn0025741 plexA
FBgn0030483 CG12725
FBgn0036487 Prp31
FBgn0004777 Ccp84Ag
FBgn0083987 snRNA:U11
FBgn0004053 zen
FBgn0259823 CG42404
FBgn0067895 Mitf
FBgn0039924 CG17471
FBgn0034121 CG6262
FBgn0261615 CG42704
FBgn0054015 CG34015
FBgn0054007 CG34007
FBgn0262112 sro
FBgn0054006 CG34006
FBgn0040296 Ocho
FBgn0054011 CG34011
FBgn0262600 skf
FBgn0000002 5SrRNA
FBgn0054047 CG34047
FBgn0054024 CG34024
FBgn0262454 mir-1007
FBgn0262413 mir-9b
FBgn0262233 mir-2494
FBgn0262172 mir-307-as
FBgn0024912 agt
FBgn0259651 B0326
FBgn0037389 CR10991
FBgn0034317 CR14499
FBgn0250830 CG12547
FBgn0039091 CG10182
FBgn0005626 ple
FBgn0000001 4.5SRNA
FBgn0037717 CG8301
FBgn0029937 CG8300
FBgn0011896 tRNA:K2:50C
FBgn0034054 CG8366
FBgn0259836 Su(Ste):CR42405
FBgn0032000 CG8372
FBgn0036952 CG6933
FBgn0036233 CG6947
FBgn0036490 CG6888
FBgn0039596 CG10000
FBgn0039595 AR-2
FBgn0037493 CG10032
FBgn0037212 nAcRalpha-80B
FBgn0038020 GstD9
FBgn0039008 CG6972
FBgn0011850 tRNA:E4:56Fc
FBgn0033907 mRpS16
FBgn0002632 m6
FBgn0033347 CG8248
FBgn0014002 Pdi
FBgn0039019 HP1c
FBgn0035715 CG10103
FBgn0033933 CG10104
FBgn0035710 SP1173
FBgn0024177 zpg
FBgn0032946 nrv3
FBgn0011910 tRNA:L3:49Fb
FBgn0038397 CG10185
FBgn0011938 tRNA:N5:42Ah
FBgn0011883 tRNA:I:49Fc
FBgn0032945 CG8665
FBgn0000625 eyg
FBgn0025874 Meics
FBgn0030850 CG8408
FBgn0017549 Ric
FBgn0010621 Cct5
FBgn0038126 CG8483
FBgn0028582 lqf
FBgn0035790 Cyp316a1
FBgn0035714 CG8549
FBgn0033742 CG8550
FBgn0031990 CG8552
FBgn0043005 CG10251
FBgn0033969 CG10202
FBgn0033970 CG10205
FBgn0039117 tst
FBgn0032685 CG10211
FBgn0032783 CG10237
FBgn0025608 Faf
FBgn0032811 CG10268
FBgn0035690 CG10274
FBgn0086423 l(3)CHg
FBgn0033985 CG10257
FBgn0038453 CG10326
FBgn0086129 snama
FBgn0086134 Pros25
FBgn0086253 rumi
FBgn0086254 CG6084
FBgn0250835 CG15394
FBgn0250837 dUTPase
FBgn0035767 CG8596
FBgn0033019 CG10395
FBgn0033020 CG10396
FBgn0037412 Osi4
FBgn0031550 CG8853
FBgn0030342 CG10347
FBgn0025878 wrapper
FBgn0005617 msl-1
FBgn0015553 tos
FBgn0003944 Ubx
FBgn0033297 CG8690
FBgn0002533 Lcp2
FBgn0035762 CG8605
FBgn0035761 RhoGEF4
FBgn0035754 MED4
FBgn0027602 CG8611
FBgn0033924 CG8613
FBgn0024542 Neos
FBgn0040837 CG8620
FBgn0011604 Iswi
FBgn0029629 CG8636
FBgn0035736 Cpr65Eb
FBgn0032741 Side
FBgn0032819 CG10463
FBgn0032827 CG10481
FBgn0036621 roq
FBgn0015904 ara
FBgn0015618 Cdk8
FBgn0260392 CG42518
FBgn0033321 CG8738
FBgn0033330 CG8746
FBgn0036116 CG7888
FBgn0037539 CG10435
FBgn0035649 CG10483
FBgn0034634 CG10494
FBgn0011591 fng
FBgn0026679 l(1)G0095
FBgn0014032 Sptr
FBgn0037498 CG10029
FBgn0023094 cyc
FBgn0004623 Gbeta76C
FBgn0033726 Cpr49Ad
FBgn0031476 CG8813
FBgn0033378 tsu
FBgn0022774 Oat
FBgn0036397 CG8783
FBgn0003255 rk
FBgn0004635 rho
FBgn0030016 Or7a
FBgn0036899 tey
FBgn0014343 mirr
FBgn0034583 CG10527
FBgn0004811 fs(2)ltoPP43
FBgn0020640 Lcp65Ae
FBgn0001105 Gbeta13F
FBgn0040992 CG10570
FBgn0041111 lilli
FBgn0045063 fdl
FBgn0012037 Ance
FBgn0033738 CG8830
FBgn0036386 CG8833
FBgn0036005 pall
FBgn0033717 CG8839
FBgn0028940 Cyp28a5
FBgn0037679 CG8866
FBgn0038144 CG8870
FBgn0027504 CG8878
FBgn0035236 CG12004
FBgn0035585 CG12027
FBgn0000449 dib
FBgn0052227 gogo
FBgn0032915 CG12050
FBgn0000043 Act42A
FBgn0028436 ECSIT
FBgn0000416 Sap-r
FBgn0035372 CG12093
FBgn0032817 CG10631
FBgn0030680 CG8944
FBgn0032727 CG10623
FBgn0036314 CG10754
FBgn0035596 CG10677
FBgn0036300 CG10688
FBgn0002855 Acp26Aa
FBgn0029979 CG10777
FBgn0015568 alpha-Est1
FBgn0010295 ng3
FBgn0010296 ng4
FBgn0003086 Pig1
FBgn0016794 dos
FBgn0033821 CG10799
FBgn0038035 lig3
FBgn0033674 CG8964
FBgn0031745 CG8965
FBgn0040235 c12.1
FBgn0033075 Pld
FBgn0040236 c11.1
FBgn0033465 CG12140
FBgn0022786 Hira
FBgn0029959 Rab39
FBgn0016041 Tom40
FBgn0011661 Moe
FBgn0024294 Spn43Aa
FBgn0030502 tth
FBgn0003374 Sgs4
FBgn0035170 dpr20
FBgn0026398 Or22a
FBgn0040334 Tsp3A
FBgn0036327 CG10748
FBgn0036328 CG10749
FBgn0015036 Cyp4ae1
FBgn0028567 robl62A
FBgn0024179 wit
FBgn0004054 zen2
FBgn0010051 Itp-r83A
FBgn0015324 Vha26
FBgn0038304 CG12241
FBgn0086419 l(3)CHc
FBgn0004189 snRNA:U6:96Ab
FBgn0017551 Rca1
FBgn0041241 Gr47b
FBgn0050156 CG30156
FBgn0033202 Gr43b
FBgn0082585 sprt
FBgn0004892 sob
FBgn0037506 CG1287
FBgn0086446 l(2)37Ce
FBgn0010238 Lac
FBgn0037374 jagn
FBgn0029664 CG10802
FBgn0039555 mRpS22
FBgn0033830 CG10814
FBgn0015576 alpha-Est8
FBgn0002887 mus201
FBgn0035298 CG1140
FBgn0004425 LysB
FBgn0052677 X11Lbeta
FBgn0031129 CG1324
FBgn0033482 CG1371
FBgn0030277 CG1394
FBgn0004389 bnk
FBgn0038157 CG12538
FBgn0036324 CG12520
FBgn0031276 CG12506
FBgn0033542 CG12309
FBgn0044508 snoRNA:M
FBgn0036541 CG12486
FBgn0029134 Prosbeta5
FBgn0033557 CG12325
FBgn0038617 CG12333
FBgn0033550 CG12341
FBgn0010358 deltaTry
FBgn0022943 Cbp20
FBgn0038100 Paip2
FBgn0033901 O-fut1
FBgn0034263 CG10934
FBgn0034253 CG10936
FBgn0029974 dpr14
FBgn0036317 CG10948
FBgn0037386 CG1208
FBgn0036316 CG10960
FBgn0014007 Ptp69D
FBgn0027111 miple
FBgn0004782 Ccp84Ab
FBgn0010380 Bap
FBgn0040487 BobA
FBgn0030570 CG12540
FBgn0040536 CG12418
FBgn0033987 CG12424
FBgn0030843 CG12432
FBgn0037769 CG12419
FBgn0031190 CG12576
FBgn0000547 ed
FBgn0011891 tRNA:K2:42Ae
FBgn0039588 CG12413
FBgn0035523 CG1311
FBgn0035529 CG1319
FBgn0063387 snoRNA:U27:54Eb
FBgn0037213 CG12581
FBgn0060292 snoRNA:U49:66Da
FBgn0003920 snRNA:U2:14B
FBgn0000280 Cec-Psi1
FBgn0024182 waw
FBgn0032966 CG1421
FBgn0033464 CG1441
FBgn0010292 bys
FBgn0031045 CG14212
FBgn0031036 CG14220
FBgn0030038 CG1440
FBgn0041717 snRNA:U6atac:29B
FBgn0050001 CG30001
FBgn0039774 CDase
FBgn0037351 RpL13A
FBgn0016126 CaMKI
FBgn0031659 CG14043
FBgn0050010 CG30010
FBgn0050020 CG30020
FBgn0031749 CG14000
FBgn0051050 CG31050
FBgn0031700 CG14022
FBgn0000233 btd
FBgn0036859 CG14085
FBgn0030074 CG12662
FBgn0030886 CG12672
FBgn0250844 CG4218
FBgn0250845 CG1288
FBgn0250847 CG14034
FBgn0250848 26-29-p
FBgn0250849 CG32388
FBgn0250851 CG33981
FBgn0033083 Dpit47
FBgn0031040 CG14210
FBgn0003950 unc
FBgn0023416 Ac3
FBgn0022361 Pur-alpha
FBgn0031043 CG14222
FBgn0031053 CG14223
FBgn0050263 CG30263
FBgn0043903 dome
FBgn0031695 Cyp4ac3
FBgn0031693 Cyp4ac1
FBgn0050071 CG30071
FBgn0031715 tomb
FBgn0030246 CG1582
FBgn0040392 CG14050
FBgn0030896 CG12612
FBgn0036868 CG14087
FBgn0040932 CG12650
FBgn0004404 RpS14b
FBgn0039779 PH4alphaSG2
FBgn0029093 cathD
FBgn0023527 CG3071
FBgn0036321 CG14120
FBgn0004657 mys
FBgn0021742 C901
FBgn0004581 bgcn
FBgn0029133 REG
FBgn0004864 hop
FBgn0030289 CG1597
FBgn0031182 Cyp6t1
FBgn0040870 CG12454
FBgn0044051 Ilp1
FBgn0030487 CG12726
FBgn0050265 CG30265
FBgn0050267 CG30267
FBgn0011747 Ank
FBgn0050121 CG30121
FBgn0050126 CG30126
FBgn0050130 CG30130
FBgn0036138 CG14143
FBgn0050181 CG30181
FBgn0036094 CG14153
FBgn0045482 Gr59b
FBgn0011277 HLH4C
FBgn0015561 unpg
FBgn0013773 Cyp6a22
FBgn0036889 CG14100
FBgn0036036 CG14174
FBgn0040630 CG12710
FBgn0050125 Ir56a
FBgn0082981 snoRNA:Psi28S-2949
FBgn0082928 snoRNA:Me28S-G3255a
FBgn0082943 snoRNA:Me28S-A982a
FBgn0082942 snoRNA:Me28S-A982b
FBgn0082927 snoRNA:Me28S-G3255b
FBgn0050274 CG30274
FBgn0039428 CG14237
FBgn0031023 CG14200
FBgn0029771 CG12730
FBgn0030979 CG14190
FBgn0033184 CG12736
FBgn0003023 otu
FBgn0030478 CG1640
FBgn0005427 ewg
FBgn0030242 sofe
FBgn0040093 lectin-46Ca
FBgn0030286 CG1657
FBgn0025549 unc-119
FBgn0026761 Trap1
FBgn0023536 CG3156
FBgn0021814 Vps28
FBgn0037736 CG12950
FBgn0037677 CG12951
FBgn0037672 sage
FBgn0028669 Vha100-3
FBgn0041236 Gr59d
FBgn0038633 CG14303
FBgn0038531 CG14325
FBgn0038512 CG14330
FBgn0050379 CG30379
FBgn0038342 CG14870
FBgn0023143 Uba1
FBgn0024728 Slip1
FBgn0030163 CG1791
FBgn0033547 CG12935
FBgn0050479 CG30479
FBgn0031110 Obp19b
FBgn0030484 CG1681
FBgn0025111 Ant2
FBgn0015527 pen
FBgn0040569 CG14310
FBgn0050350 CG30350
FBgn0038529 CG14323
FBgn0031351 CG14352
FBgn0026415 Idgf4
FBgn0003116 pn
FBgn0034031 CG12963
FBgn0038647 CG14302
FBgn0002641 mal
FBgn0029067 l(1)G0269
FBgn0031038 Tyler
FBgn0039904 Hcf
FBgn0039523 CG12885
FBgn0033943 CG12869
FBgn0029888 CG3192
FBgn0031145 Ntf-2
FBgn0010395 betaInt-nu
FBgn0044011 Spn43Ad
FBgn0038532 CG14322
FBgn0029882 CG3226
FBgn0005616 msl-2
FBgn0030829 CG12998
FBgn0039861 pasha
FBgn0026777 Rad23
FBgn0050378 CG30378
FBgn0038695 CG14280
FBgn0033422 Or45b
FBgn0033134 Tsp42El
FBgn0033167 CG1701
FBgn0045862 btz
FBgn0039540 CG12879
FBgn0015794 Rab-RP4
FBgn0022708 Adk2
FBgn0034047 CG12970
FBgn0037538 CG3223
FBgn0029885 CG3224
FBgn0031631 CG3225
FBgn0040324 Ephrin
FBgn0050477 CG30477
FBgn0050480 CG30480
FBgn0029893 CG14442
FBgn0030391 Rab40
FBgn0033226 CG1882
FBgn0003317 sax
FBgn0034318 CG14500
FBgn0044328 CG32052
FBgn0050411 CG30411
FBgn0052079 CG32079
FBgn0040352 CG14416
FBgn0029639 CG14419
FBgn0050424 CG30424
FBgn0029899 CG14438
FBgn0034228 CG14479
FBgn0038878 CG3301
FBgn0013767 Crz
FBgn0034284 CG14491
FBgn0034283 CG14492
FBgn0000442 Pkg21D
FBgn0020445 E23
FBgn0034985 CG3328
FBgn0025739 pon
FBgn0039509 bigmax
FBgn0034989 CG3356
FBgn0039617 CG14521
FBgn0039612 CG14523
FBgn0036007 path
FBgn0086420 l(3)CHd
FBgn0052070 CG32070
FBgn0031229 CG3436
FBgn0003257 r-l
FBgn0037976 Tk
FBgn0014388 sty
FBgn0028996 onecut
FBgn0000256 capu
FBgn0033214 CG1941
FBgn0052076 Alg10
FBgn0030485 CG1998
FBgn0039619 CG14519
FBgn0031966 CG14532
FBgn0031954 CG14537
FBgn0039398 CG14540
FBgn0037104 CG14574
FBgn0037503 CG14598
FBgn0027621 Pfrx
FBgn0023423 slmb
FBgn0038853 RhoGAP93B
FBgn0052057 dpr10
FBgn0010762 simj
FBgn0015000 betaggt-I
FBgn0028913 CG3473
FBgn0020258 ppk
FBgn0000055 Adh
FBgn0004837 Su(H)
FBgn0052022 CG32022
FBgn0052080 CG32080
FBgn0052083 CG32083
FBgn0037828 tomboy20
FBgn0031187 CG14619
FBgn0038697 CG3581
FBgn0017457 U2af38
FBgn0052081 CG32081
FBgn0052233 CG32233
FBgn0052137 CG32137
FBgn0052141 CG32141
FBgn0052104 CG32104
FBgn0035027 CG3511
FBgn0038706 CG3517
FBgn0000536 eas
FBgn0038463 CG3534
FBgn0015816 Slh
FBgn0031279 CG3544
FBgn0031423 CG3557
FBgn0031559 CG3513
FBgn0034865 Or59b
FBgn0035035 CG3570
FBgn0052103 CG32103
FBgn0052105 CG32105
FBgn0001148 gsb
FBgn0047330 CG32235
FBgn0002573 sens
FBgn0005592 btl
FBgn0052135 CG32135
FBgn0052151 CG32151
FBgn0052154 CG32154
FBgn0000567 Eip74EF
FBgn0052198 CG32198
FBgn0052199 CG32199
FBgn0025821 I-t
FBgn0037922 CG14711
FBgn0037924 CG14712
FBgn0037940 CG14720
FBgn0003312 sad
FBgn0037987 CG14739
FBgn0031238 CG3645
FBgn0001978 stc
FBgn0004896 fd59A
FBgn0043576 PGRP-SC1a
FBgn0036578 CG5018
FBgn0025383 CG14780
FBgn0025381 CG14782
FBgn0026309 aft
FBgn0035039 CG3608
FBgn0014143 croc
FBgn0038266 CG3610
FBgn0039346 CG5079
FBgn0052237 CG32237
FBgn0039356 CG5039
FBgn0052206 CG32206
FBgn0027791 O-fut2
FBgn0038346 CG14872
FBgn0023129 aay
FBgn0035399 CG14955
FBgn0035428 CG14960
FBgn0025378 CG3795
FBgn0052212 CG32212
FBgn0026320 Tom
FBgn0038271 CG3731
FBgn0052254 CG32254
FBgn0045478 Gr64b
FBgn0052275 CG32275
FBgn0052278 CG32278
FBgn0052281 CG32281
FBgn0023514 CG14805
FBgn0029589 CG14810
FBgn0243503 zydeco
FBgn0002985 odd
FBgn0036422 CG3868
FBgn0000413 da
FBgn0038280 CG14861
FBgn0064227 Rdh
FBgn0010422 TfIIS
FBgn0024986 CG3719
FBgn0000047 Act88F
FBgn0019949 Cdk9
FBgn0010583 dock
FBgn0004915 TfIIB
FBgn0035955 CG5194
FBgn0023530 CG3740
FBgn0040305 MTF-1
FBgn0003460 so
FBgn0052392 CG32392
FBgn0052301 CG32301
FBgn0052391 CG32391
FBgn0035085 CG3770
FBgn0002973 numb
FBgn0035364 CG14950
FBgn0020493 Dad
FBgn0035499 Chd64
FBgn0035515 CG14997
FBgn0031912 CG5261
FBgn0052319 CG32319
FBgn0052336 CG32336
FBgn0001253 ImpE1
FBgn0052371 CG32371
FBgn0032359 Osi21
FBgn0038704 CG5316
FBgn0000382 csw
FBgn0003448 sna
FBgn0004860 ph-d
FBgn0032406 CG14947
FBgn0030723 dpr18
FBgn0038837 CG3822
FBgn0259652 B0462
FBgn0031918 CG6055
FBgn0003975 vg
FBgn0003459 stwl
FBgn0000061 al
FBgn0260488 l(3)1025
FBgn0032130 CG3838
FBgn0034862 CG5357
FBgn0052486 CG32486
FBgn0262210 mir-927
FBgn0262252 mir-965
FBgn0041624 Or65b
FBgn0052440 CG32440
FBgn0052453 CG32453
FBgn0052494 CG32494
FBgn0011236 ken
FBgn0020370 TppII
FBgn0034372 Gint3
FBgn0032409 Ced-12
FBgn0030578 CG5347
FBgn0038003 CG3916
FBgn0001337 Exp6
FBgn0013764 Chi
FBgn0032213 CG5390
FBgn0036759 CG5577
FBgn0034919 CG5569
FBgn0036756 cln3
FBgn0004106 cdc2
FBgn0034871 CG3906
FBgn0034958 CG3907
FBgn0038292 CG3987
FBgn0052511 CG32511
FBgn0052521 CG32521
FBgn0052533 CG32533
FBgn0052582 CG32582
FBgn0052586 CG32586
FBgn0011703 RnrL
FBgn0003676 T-cp1
FBgn0004647 N
FBgn0005322 nmd
FBgn0031327 CG5397
FBgn0035989 CG3967
FBgn0032476 CG5439
FBgn0086421 l(3)CHe
FBgn0052500 CG32500
FBgn0052504 CG32504
FBgn0023177 Pp4-19C
FBgn0000564 Eh
FBgn0032436 CG5418
FBgn0085248 CG34219
FBgn0034926 CG5591
FBgn0011294 a5
FBgn0008649 dei
FBgn0034366 Atg7
FBgn0034364 CG5493
FBgn0054022 CG34022
FBgn0054030 CG34030
FBgn0039778 Jon99Fi
FBgn0086422 l(3)CHf
FBgn0023550 CG18031
FBgn0052613 CG32613
FBgn0052614 CG32614
FBgn0044817 Ste12DOR
FBgn0028422 KaiRIA
FBgn0052710 CG32710
FBgn0036537 CG18081
FBgn0262562 CG43102
FBgn0041183 TepI
FBgn0052698 CG32698
FBgn0050500 CG30500
FBgn0036039 CG18177
FBgn0039562 Gp93
FBgn0036764 CG5535
FBgn0035639 CG5537
FBgn0038052 CG5538
FBgn0034907 CG5539
FBgn0039551 Or98a
FBgn0034160 CG5550
FBgn0034914 CG5554
FBgn0031333 CG5561
FBgn0024234 gbb
FBgn0052741 CG32741
FBgn0035265 CG18173
FBgn0035641 CG5568
FBgn0023535 arg
FBgn0034898 CG18128
FBgn0038975 Nrx-1
FBgn0036266 CG5626
FBgn0030613 rab3-GEF
FBgn0038842 CG5630
FBgn0032650 CG7094
FBgn0013948 Eip93F
FBgn0260489 l(3)9374
FBgn0052733 CG32733
FBgn0030816 CG16700
FBgn0036029 CG16719
FBgn0004168 5-HT1A
FBgn0029820 CG16721
FBgn0003430 slp1
FBgn0035393 CG16753
FBgn0028325 l(1)G0334
FBgn0036489 CG7011
FBgn0038856 sec15
FBgn0037707 RnpS1
FBgn0030093 dalao
FBgn0000036 nAcRalpha-96Aa
FBgn0039529 CG5612
FBgn0003178 PyK
FBgn0030839 CG5613
FBgn0037083 CG5656
FBgn0030620 CG5662
FBgn0002921 Atpalpha
FBgn0032656 CG5674
FBgn0038938 CG7084
FBgn0005694 Aef1
FBgn0032329 Art8
FBgn0036832 CG18223
FBgn0052808 CG32808
FBgn0023531 CG32809
FBgn0025394 CG32810
FBgn0000543 ecd
FBgn0040736 IM3
FBgn0030636 CG18210
FBgn0010357 betaTry
FBgn0038470 CG18213
FBgn0052801 CG32801
FBgn0052802 CG32802
FBgn0052804 CG32804
FBgn0052806 CG32806
FBgn0032095 Toll-4
FBgn0052821 CG32821
FBgn0052830 CG32830
FBgn0052832 CG32832
FBgn0036725 CG18265
FBgn0052845 CG32845
FBgn0031724 CG18266
FBgn0052850 CG32850
FBgn0032488 CG16812
FBgn0032490 CG16813
FBgn0039679 ppk19
FBgn0000046 Act87E
FBgn0030269 CG18292
FBgn0036873 CG18294
FBgn0040735 CG16836
FBgn0035009 CG16837
FBgn0031947 CG7154
FBgn0038588 CG7156
FBgn0040096 lectin-33A
FBgn0028891 CG18482
FBgn0034238 CG18432
FBgn0034304 CG5742
FBgn0000083 AnnIX
FBgn0038855 CG5745
FBgn0039186 CG5746
FBgn0021765 scu
FBgn0045442 mthl12
FBgn0022724 Taf8
FBgn0034483 CG16894
FBgn0037147 CG7140
FBgn0037116 CG7158
FBgn0003189 r
FBgn0037109 MED1
FBgn0032486 CG5705
FBgn0000120 Arr1
FBgn0035887 Jon66Cii
FBgn0004449 Ten-m
FBgn0011205 fbl
FBgn0038583 CG7183
FBgn0031945 CG7191
FBgn0032666 CG5758
FBgn0028468 rtet
FBgn0039190 CG5762
FBgn0039198 CG5768
FBgn0034291 CG5770
FBgn0034290 CG5773
FBgn0036529 pgant8
FBgn0039130 CG5854
FBgn0033551 CG7222
FBgn0004507 GlyP
FBgn0015625 CycB3
FBgn0035795 CG16998
FBgn0027574 CG5815
FBgn0036500 CG7275
FBgn0036790 star1
FBgn0032677 CG5790
FBgn0020307 dve
FBgn0029002 miple2
FBgn0028991 seq
FBgn0035231 Cct2
FBgn0027055 CSN3
FBgn0003659 Sxl
FBgn0034292 CG5767
FBgn0028894 CG5869
FBgn0036991 CG5872
FBgn0038511 CG5873
FBgn0030625 CG5877
FBgn0036501 CG7272
FBgn0038873 CG5892
FBgn0030701 CG16952
FBgn0032481 CG16972
FBgn0010909 msn
FBgn0032479 CG16974
FBgn0039536 CG18437
FBgn0010222 Nmdmc
FBgn0026323 Tak1
FBgn0023546 Hr4
FBgn0030254 CG16922
FBgn0011289 TfIIA-L
FBgn0026392 Or33a
FBgn0000339 cni
FBgn0062517 CG16984
FBgn0034218 CG18467
FBgn0024232 gprs
FBgn0037683 CG18473
FBgn0041231 Gr68a
FBgn0037074 CG7324
FBgn0030970 CG7326
FBgn0036942 CG7328
FBgn0032271 CG7329
FBgn0040493 granny-smith
FBgn0036777 CG7341
FBgn0029843 Nep1
FBgn0038098 CG7381
FBgn0036217 CG5906
FBgn0036939 CG7365
FBgn0035855 CG7366
FBgn0259653 B0538
FBgn0032587 CG5953
FBgn0039387 CG5959
FBgn0000121 Arr2
FBgn0004956 os
FBgn0040508 ACXC
FBgn0039500 CG5984
FBgn0026576 CG5991
FBgn0036752 Adgf-A
FBgn0032593 trpgamma
FBgn0036751 Adgf-B
FBgn0038350 CG18516
FBgn0038348 CG18519
FBgn0010433 ato
FBgn0038347 CG18522
FBgn0042207 CG18530
FBgn0034324 CG18538
FBgn0010431 mtrm
FBgn0037812 CG18545
FBgn0041710 yellow-f
FBgn0042206 GstD10
FBgn0036237 viaf
FBgn0038953 CG18596
FBgn0038592 CG18599
FBgn0021953 Fatp
FBgn0022936 CycH
FBgn0030980 CG7406
FBgn0036765 CG7408
FBgn0034279 CG18635
FBgn0003011 ort
FBgn0015799 Rbf
FBgn0035575 CG7509
FBgn0036741 CG7510
FBgn0029113 Uba2
FBgn0011217 eff
FBgn0001174 halo
FBgn0036762 CG7430
FBgn0004396 CrebA
FBgn0037146 CG7470
FBgn0035807 CG7492
FBgn0034429 CG18607
FBgn0014269 prod
FBgn0029971 CG18624
FBgn0028970 betaggt-II
FBgn0034239 CG18631
FBgn0040696 CG18675
FBgn0010425 epsilonTry
FBgn0038256 CG7530
FBgn0036738 CG7542
FBgn0036164 CG7543
FBgn0012051 CalpA
FBgn0036924 hale
FBgn0039681 CG7582
FBgn0039682 Obp99c
FBgn0020240 Mcr
FBgn0014850 Eig71Ej
FBgn0259990 CG42487
FBgn0030614 CG9072
FBgn0085474 CG34445
FBgn0061476 zwilch
FBgn0042098 CG18735
FBgn0013276 Hsp70Ab
FBgn0036398 CG9007
FBgn0034173 CG9010
FBgn0042205 CG18764
FBgn0000577 en
FBgn0031751 CG9016
FBgn0031747 CG9021
FBgn0040931 CG9034
FBgn0001128 Gpdh
FBgn0002914 Myb
FBgn0003980 Vm26Ab
FBgn0086417 l(3)CHa
FBgn0030606 CG9053
FBgn0030608 Lsd-2
FBgn0001942 eIF-4a
FBgn0001941 ifc
FBgn0085488 CG34459
FBgn0051948 CG31948
FBgn0037071 CG7632
FBgn0038536 CG7655
FBgn0086418 l(3)CHb
FBgn0033639 CG9003
FBgn0019624 CoVa
